匿名编号,诗作内容,流畅度(1-10),押韵(1-10),备注
P01,春色春风急，春风晚叶轻。同游不相见，不识雪花还。,5,1,
P02,春风吹白日，雨色动青山。老去无人事，闲时有客情。,9,1,
P03,春色已成雪，春风又带花。山阴迷晓色，天气映春光。,6,1,
P04,春风吹白云，日日落黄花。,6,1,
P05,春风半窗下，落日有风花。白发风吹尽，青团柳色长。,5,1,
P06,春风吹花红，春风落花红。不知春色好，又值春风深。,4,1,
P07,春风满山水，东望望中林。白岸多秋色，寒轩有晚凉。孤帆吹不折，幽鸟自堪飞。何事相相问，不应无事情。,3,1,
P08,春风吹玉帐，春色带青山。,6,1,
P09,春风吹晚月，花柳满寒花。客去看春色，人归忆故山。,6,1,
P10,春来不可厌，春色自相逢。白水有时意，孤猿何处心。,6,1,
P11,春风吹白云，不畏一枝花。,7,1,
P12,春风吹落叶，春树满空台。白日归来处，孤帆落落时。,6,1,
P13,春风吹柳柳，春色去相随。鸟语人间乐，人行我自知。,4,1,
P14,春来已零零，春色已成春。不似江湖去，相逢水水长。,1,1,
P15,春风满舟子，江水一相逢。望断江湖上，归来草树中。,9,1,
P16,春风七万里，春风五一尊。壶前开素扇，子好好陶差。,5,1,
P17,春风吹入塞，风雨挂行舟。远岸烟光动，高城草色深。何时无一望，一泪尚无情。,6,1,
P18,春风吹画马，浪解菊枝花。一片无余念，三秋破旧衣。,6,1,
P19,春来不复老，犹复出家来。,7,1,
P20,春风吹白发，春日满青春。不得如何事，相逢不可思。,4,1,
P21,春尽春不尽，春风亦不开。白云平日远，白水落天清。,4,1,
P22,春风飘落日，岁月满春风。草色分春色，山声入夜声。一杯无一笑，一笑到三州。,3,1,
P23,春风送春色，春色满山开。不得重阳去，宁能问我长。,2,1,
P24,春风散晴日，秋色落花时。不见孤峰趣，无人共自然。,10,1,
P25,春才与相见，风吹每应悲。却得杯前眼，遥宜酒外情。,9,1,
P26,春来春雪落，天为雨将新。春意如应月，秋声几处村。松花宜折雪，水树共开花。不见重来处，何劳几代余。,10,1,
P27,春花自自发，春草自相知。我子知何事，吾生不可言。,7,1,
P28,春风吹落叶，晚月满红花。日上孤舟去，云间白鸟归。,8,1,
P29,春风吹马去，春草满春时。酒去归来去，花间不可知。,5,10,
P30,春风过脱褐，野鸟上横城。果拟顶头去，人知人力轻。清寒钟下稳，黯淅水间秋。独立三秋去，相思一夜心。,7,10,
P31,春事同相见，春时亦自知。酒成愁不尽，花满醉难违。,5,1,
P32,春风吹白云，春日自相比。山色下秋风，山色满晚色。,6,1,
P33,春来无一笑，欲住不相知。客去春常别，山空夜不归。,7,1,
P34,春风吹落花，春日不相随。落日不可到，幽人无可怜。,5,1,
P35,春兴已如此，春风亦自知。诗情惟此坐，酒酒未能忘。,5,1,
P36,春风袅袅袅，虫女垂梧旄。人生独不陈，自有日雨寒。,1,1,
P37,春风出天地，春色满林林。不得山林客，无人语自知。,5,1,
P38,春色虽吾日，相逢自尔长。客来犹护晓，客喜已应痴。水静风生夜，云平暑落时。君行恶相对，一片向来期。,5,3,
P39,春风不可见，秋水自无情。雨湿惊风急，风轻逐雨寒。,6,1,
P40,春风不得地，春风自长风。,4,1,
P41,春风无所好，风雨有人多。,4,1,
P42,春风不可惜，夜色自相逢。一笑三年别，千年一日长。,10,1,
P43,春风吹不去，晚日满青青。,5,1,
P44,春风作秋绽，寒色縠成青。雨气初生水，风声影逐空。,9,1,
P45,春日满青山，春寒满绿潭。,5,1,
P46,春草自相逢，春流不可怜。,3,1,
P47,春色如相念，春来不伴愁。莫嫌蓬鬓白，何事与伤人。未已衰头重，那堪叹激风。还将霰霜乱，且著百年雄。,6,1,
P48,春草春风薄，惊花落叶巾。,6,1,
P49,春年一万里，久去一千家。一笑吟人意，三年岁月寒。,8,1,
P50,春雨不能茂，南园有意迟。陶公非所计，从我自能人。,9,1,
