匿名编号,诗作内容,流畅度,押韵(1-10),备注
P01,春风吹雨落风吹，雨雨萧萧一夜寒。不是山川无处处，不知风雨有风烟。,2,1,
P02,春风吹尽楚江，日日江头日日闲。四十年华今不尽，一年心事有谁知。人生有酒聊相赠，我亦无情更不穷。,1,1,
P03,春风吹雨未知秋，风雨萧萧自自愁。春风吹雨催秋色，春风吹雪上江流。,4,10,
P04,春风吹雨满人家，不费春风一夜风。似问人间无处处，故人无点是无间。,3,2,
P05,春风吹尽日迟迟，不是江山一片花。莫笑相从不辞酒，却将重见一杯诗。,5,1,
P06,春色初闻一片花，春光无已自伤情。东风又是春风约，今日长江水满沟。,9,1,
P07,春晓风光似雪光，夜寒花影自凄凉。云生不是孤舟处，犹记人间一水生。绿笋有香无限客，绿阴无数许人看。,8,1,
P08,春风吹起又西风，半夜江风一夜寒。不是江山归日月，只应风月到时时。探春不是春来处，且把诗人作醉人。,6,1,
P09,春风吹雨不如床，细雨无人未肯归。赖有清凉吹雨后，不应风雨过江南。后时共寄秋风起，莫笑前窗一夜愁。,6,1,
P10,春风满酒不无才，霁景繁光最有情。谁独得工相对酒，小窗无力唤人吟。,5,10,
P11,春风吹雨满江边，竹树疏疏一叶深。不是清风吹不得，一声吹起一声声。,5,10,
P12,春风吹尽绿杨花，未许诗人到眼边。不见江东江上路，却随花下绿阴红。,7,2,
P13,春风吹雨过青天，风雨连宵破晓天。一夜风吹人已好，一声风雨月如云。,6,1,
P14,春中春色不胜愁，一笑乾坤不是家。一日风流方自在，一帆风雨已归来。,6,1,
P15,春风吹雨弄春风，风雨春风过北山。无限江风吹晓雨，故游三十二三楼。,6,1,
P16,春节残寒似一时，石根桃李在峰头。不因清晓侵新绿，处处闲时得早春。,5,1,
P17,春风吹雨不容归，未觉青山看路迟。风吹柳条愁不尽，花开花落不须开。,5,1,
P18,春风吹尽绿阴阴，夜雨催来一夜晴。不似青衫归不到，不知风雨上窗眠。,4,1,
P19,春风吹尽日春风，曾向东风一片花。日日已知春色里，花开谁与醉花花。,3,3,
P20,春风吹尽水边春，老树疏枝不放春。不是一杯开不绝，不妨一榻一杯杯。,6,1,
P21,春风吹雨两江头，雨落青山一片红。万叶不知春草里，一峰犹有夜风吹。,6,1,
P22,春风吹浪未曾开，不见江边几日迟。只有一枝无处用，也须为与一人看。,5,1,
P23,春芳芳草下春江，一笑春风送晓风。连日清风吹夜梦，不知人世老僧情。,5,3,
P24,春色满中风雨里，春天无事已相思。谩将白发成何少，只有黄金为我同。,4,1,
P25,春风吹动一枝枝，风雨萧萧一雨来。一夜风流无一事，一声声断一声声。黄昏夜梦无多恨，白首江山有梦魂。,2,1,
P26,春风吹尽雪如花，独倚栏高一点红。不似新诗无限意，不知新句不须开。凭谁更作梅栽是，更有春风一点香。,7,1,
P27,春风吹雨又春风，不是春风一日开。不是江南无处处，不知风月是心心。,3,1,
P28,春风吹月照秋光，风雨晴云照晓来。未必老僧能自笑，不令清月到清风。,3,1,
P29,春游杂昼到京华，一醉萦欢十岁春。惜绪已成青药态，行人更待锦衣斑。不须胜情坐听客，却立新镮拥月稀。,7,1,
P30,春风吹尽柳花开，雨后黄花似不知。今日相逢春色好，不教花落不知人。紫薇风露添春色，玉叶风光满地香。,6,1,
P31,春风吹尽落春风，一夜风吹一笑来。,3,1,
P32,春风断尽一杯春，千里秋香不管弦。莫惜春风无酒醉，不禁春色不须愁。,5,1,
P33,春日凋零酒鬓痕，一声明日送春声。疏山自是游人记，但有长安更听看。,6,1,
P34,春老平生日有余，不消长羡暗闲吟。数声夜色泠泠息，日日猿声到古心。,6,9,
P35,春风一水是三年，久见青山日日生。莫笑春风春意在，不知长是客情多。可怜不觉春风起，不使黄花不负人。午月满窗春色好，夜凉无处听声哀。新诗不到春风月，不是春风一片颦。,5,3,
P36,春风袂浦又经春，图染丛林弄沉雨。荷叶涨云长似乳，绿杨无意正通秋。何妨抛折丛林影，无复闲乘水水时。,7,1,
P37,春风吹尽水晶楼。柳垂杨柳花开雪，风吹花红柳絮中。,5,1,
P38,春风吹尽一枝花，一日清风一笑还。莫笑白鸥来不得，不妨佳句与人看。,8,10,
P39,春风吹尽不铜枝，气候天光正染衣。一曲楼台齐扑面，两声愁有上窗寒。如今再塑春风句，归客还将未好游。,8,1,
P40,春风吹尽故家归，不肯匆匆一柱来。不管一家同酒糵，可怜一曲上青山。,5,1,
P41,春风吹尽一声。不动江湖春月里，日长松竹树声清。,1,3,
P42,春风吹雪暮春风，日暮江空日又惊。此路不知闻老去，行人休羡出高盟。,7,1,
P43,春风吹尽泊离骚，道态争无事巷情。残月已闻春草色，一年春梦去蝉声。,8,1,
P44,春风吹尽水边头，不似江南一片时。莫笑客来无事处，不知何处有诗人。,8,1,
P45,春风吹尽醉中秋，不见春风不肯开。不似黄花迎醉兴，一樽酒酒共吟诗。,4,1,
P46,春来十日二年荒，日日重来一日长。自笑无情无一事，不堪聊与老人归。,3,1,
P47,春来春色满天涯，便向春风不得归。不觉春来无处处，不知春色是人人。,3,1,
P48,春来最好不曾迟，荒叔相随日日中。想喜鹓浪人已老，哦无陈迹亦何堪。,2,1,
P49,春风吹尽满庭枝，一夜残风一片花。不是江山花下柳，不知鸿雁落江头。,6,1,
P50,春色无人不可怜，渐无红月照青山。一声已见无人语，百事何妨是此生。,8,2,
